// race-specific variables (must start with _)
_empire                           | 翼族王国, 翼人王国, 鸟族王国, 羽族王国, 羽人王国
_race                             | 翼族, 翼人, 鸟族, 羽族, 羽人
_race_plural                      | 翼族, 翼人, 鸟族, 羽族, 羽人
_title                            | 尖塔王
_nameTitle                        | 尖塔王


//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | 翼族顾问
MAIN_ADVISOR_BUTTON_OK            | 好的
MAIN_ADVISOR_SCOUT                | 大人，我们的侦察机已经准备好了，请探索一个新的世界，然后用我们的殖民飞船将它纳入王国的光辉版图吧。
MAIN_ADVISOR_TRANSPORT            | 我们已经占领了一个新的世界，但它的发展速度太慢了。派遣殖民者到那里去吧，这会让它更快发展。
MAIN_ADVISOR_DIPLOMACY            | 另一个文明出现了！外交官会以您的名义行使外交礼仪，如果对方给出良好的回应，外交官会记录在案。
MAIN_ADVISOR_SHIP_ENGINE          | 科学家发明了一个新的更高效的引擎。他们希望你查看当前的飞船型号，并决定如何在我们的飞船里使用新引擎。
MAIN_ADVISOR_RALLY_POINTS         | 一个丑陋的种族向我们伟大的帝国发动了战争，和平年代受到了威胁。32个家族都站在您背后，只要您下命令，他们的舰队随时待命。
MAIN_ADVISOR_MISSILE_BASES        | 帝国舰队在外战斗，我们的殖民地可能会受到敌人进攻。我们可以在您指定的殖民地建造防御导弹基地了。
MAIN_ADVISOR_SHIP_WEAPON          | 研究者在舰载武器上有了新的突破。舰队可以随时装备这些致命的武器。
MAIN_ADVISOR_COUNCIL              | 星际委员会即将召开，众人期待我们的出席。我们的外交官会尽力保证委员会的决定符合我们王国的利益。
MAIN_ADVISOR_REBELLION            | 啊，%1星系发生了叛乱。真老套。我想这样的事情总会发生的。但大人，我们仍然得把叛乱扑灭，在叛乱席卷到其他殖民地前。
