// race-specific variables (must start with _)
_empire                           | 赛隆共和国, 美塔隆共和国, 西隆共和国, 塞里布隆共和国, 纽拉隆共和国
_race                             | 赛隆人, 美塔隆人, 西隆人, 塞里布隆人, 纽拉隆人
_race_plural                      | 赛隆人, 美塔隆人, 西隆人, 塞里布隆人, 纽拉隆人
_title                            | 最高议长
_nameTitle                        | 最高议长


//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | 赛隆人顾问
MAIN_ADVISOR_BUTTON_OK            | 好的
MAIN_ADVISOR_SCOUT                | 最高议长，我们的飞船已经准备就绪。你认为我们是否应该找到一个新世界，并尽快在那里殖民呢？
MAIN_ADVISOR_TRANSPORT            | 我们的新殖民地已经建立。议会现在正在审议我们应该派多少人乘坐运输船去那里，如果我们需要派人的话。
MAIN_ADVISOR_DIPLOMACY            | 在太空深处，一个全新的文明出现了！我祈祷他们更喜欢和平共处而不是暴力相向。
MAIN_ADVISOR_SHIP_ENGINE          | 我们的科学家在我们的星舰引擎技术上一直保持着稳定的进步。代表们将在理事会面前就如何最好地使用它们提出建议。
MAIN_ADVISOR_RALLY_POINTS         | 不幸的是，共和国现在处于战争之中。议会必须决定我们舰队的集结点，以确保我们的殖民者的安全。
MAIN_ADVISOR_MISSILE_BASES        | 相比于建造大规模舰队，我们可以在我们的殖民地上建造防御性导弹基地，以保护他们免受入侵。关于哪个星球最应该受到导弹基地的保护，议会想听到你的想法。
MAIN_ADVISOR_SHIP_WEAPON          | 委员会正在就最新设计的舰船武器展开激烈辩论。有些人希望立即销毁武器，但我们可能希望改变我们的船舶设计，就当是一种主动的手段。
MAIN_ADVISOR_COUNCIL              | 很快，银河系最伟大和强大的种族将举行一次欢乐的聚会。我们应该参加这个星际委员会，聆听我们邻居的智慧。
MAIN_ADVISOR_REBELLION            | %1的人口会选择以这种方式处理分歧是令人困惑的。委员会不需要讨论这个事件，他们已经允许你立即处理这个问题。
MAIN_ADVISOR_RESIST_COUNCIL       |  令我烦恼的是，我们付出了那么多努力，却还导致了这场战争。但如果唯一的选择就是服从这个好战的委员会，那我看不出我们的人民有其他选择！
MAIN_ADVISOR_COUNCIL_RESISTED     | 看到别人如此强烈地拒绝和平，你难道不感到难过吗？坚定你的决心，最高议长：这将是这个星系经历的最后一场战争。

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | The Republic now lies in ruin...#Once, your people dreamed of a galaxy united, wanting no more than prosperity and tranquil coexistence for all. But the bitter truth of reality has made it clear that not all shared in your dream, and enemies with strength unimaginable channeled their efforts towards violent conquest. Manipulating the desires of your people to prevent your opposition, they used their machines of war to deal one devastating blow after another, and you were ultimately powerless to defend against them.#The tides of war have overwhelmed you as the last bastion of the Republic forces carry out their final stand. If your people had been less willing to let rivals surpass them in military strength, would your fate have been different in the end? As your enemies break down the entrance into the fortress in which you have made your last stand, your final thoughts turn grim as you realize you will never know the answer...
GAME_OVER_MILITARY_WIN2           | Peace, at the most terrible of costs...#A terrible cost has been paid to achieve the dreams of the Republic. As your celestial neighbors became violent and uncompromising, you were forced to choose between the safety your people and total annihilation. Through numerous debates in the senate chambers, you made a terrible choice: to plunge your fleets into the fires of war, and pray that your people would survive. The result was bittersweet: though your people emerged victorious, they did so at the cost of all other intelligent life in the galaxy.#As the last vestiges of conflict echo out across the silence of space, a stillness overtakes the galaxy as a new age of peace is about to begin. The people of the Psilon Republic, spread across numerous worlds, all look up to the sky together at the end of this last great war, but no cheers or sounds of celebration can be heard. Great sorrow grips your heart in this hour, for you realize that just the galaxy will never again know the horrors of war, neither will it know the joys of the diversity that life itself brings...
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Peace, but at a heavy cost#As your people spread your message of peace across the galaxy, you encountered numerous races who lent an ear to the messages your diplomats brought to them. Though some met your proposals with deceit and violence, there were those who listened earnestly and in time came to share your views. With lines drawn, those who heard your calls chose to stand as your allies in this fight, and together you weathered the storm of a great war. Though your people were forced to act against their most sacred and cherished principles, in the end victory was achieved, and now your allies can share in the fruits of prosperity that only peace can bring.#Though there is immense sorrow in the taking of so many lives and the erasure of vibrant civilizations, you know in your heart it was necessary to reach this final chapter in the history of your people: the last great war this galaxy will ever know has come to an end, and peace can reign at last. Whether or not that peace lasts in perpetuity, though, depends on the resolution of the allies you have made along the way...
GAME_OVER_COUNCIL_LOSS2           | Peace at last, no matter the cost...#Now comes at last the true test of your resolve. The Galactic Council has made its will known, and despite your unwavering desire for peace to be the guiding force in the galaxy, the Master of the New Republic will not be Psilon after all. Though furious debates raged in the chambers of the senate, you were able to come to an eventual agreement. You have chosen to cede the rite to lead to the [leader_empire]. But all your dealings with this empire have shown to you that they are a dangerous race, and there is no doubt in your mind that the leader of the New Republic will doubtless only maintain peace as long as it suits their goals.#And what will the Republic do if war comes to call? What will it do if its existence no longer suits the designs of the galaxy it now submits to? That will be a path that your people will need to walk in the future, and they will look to the decision you have made now as either the one that kept the dream of peace alive or the one that sealed their fate forever...
